166626	Anne Rice	Yes	Yes	=	Anne Rice	=
166626	was born	Yes	Yes	=	spent Born	=
166626	in New Jersey	Yes	Yes	=	in New Orleans Texas	|
Gold Verdict: NOT ENOUGH INFO

194372	Happiness in Slavery is a gospel song	Yes	Yes	=	Happiness in Slavery is a industrial rock song	|
194372	by Nine Inch Nails	Yes	Yes	=	by Nine Inch Nails	=
Gold Verdict: NOT ENOUGH INFO

108281	Andrew Kevin Walker	Yes	Yes	=	Andrew Walker	=
108281	is only Chinese	No	Yes	=	is born Canadian	#
Gold Verdict: REFUTES

167997	Don Bradman	Yes	Yes	=	Don Bradman	=
167997	retired	Yes	Yes	=	retirement	=
167997	from soccer	Yes	Yes	=	of cricket	|
Gold Verdict: NOT ENOUGH INFO

71182	Annette Badland was in the 2015 NBA Finals	Yes	Yes	=	Julia Holland is on a 1985 BBC opera One	|
Gold Verdict: NOT ENOUGH INFO

197381	Simón Bolívar	Yes	Yes	=	Simón Bolívar	=
197381	is only known as Simón Bolívar	Yes	Yes	=	was leading known as Bolívar	>
Gold Verdict: REFUTES

142454	Advertising	Yes	Yes	=	Advertising	=
142454	is a personal message	Yes	Yes	=	is a personal message	=
Gold Verdict: REFUTES

147411	Hot Right Now	Yes	Yes	=	Hot Right Now	=
147411	is mistakenly attributed to DJ Fresh	No	Yes	=	is second and the released by DJ Fresh	#
Gold Verdict: REFUTES

215136	Private Lives	Yes	Yes	=	Private Lives	=
215136	is a three act play from 1930	Yes	Yes	=	is a three acts comedy by 1930	<
Gold Verdict: NOT ENOUGH INFO

145512	Harold Macmillan	Yes	Yes	=	Harold Macmillan	=
145512	was born	No	Yes	=	was politician	#
145512	on February 20, 1894	Yes	Yes	=	from February 19 1894	|
Gold Verdict: REFUTES

55658	James VI I was a major advocate	No	Yes	=	James VI was a major advocate	#
55658	of a single parliament	Yes	Yes	=	of a single parliament	=
55658	for Scotland and England	Yes	Yes	=	for Scotland and England	=
Gold Verdict: SUPPORTS

129441	Saxony	Yes	Yes	=	Saxony	=
129441	is in Ireland	No	Yes	=	is in Europe	#
Gold Verdict: REFUTES

207543	Mel B	Yes	Yes	=	Mel B	=
207543	released a song	Yes	Yes	=	released a single	=
207543	on Virgin Records	Yes	Yes	=	on Virgin Records	=
207543	in 2007	Yes	Yes	=	in 1996	|
Gold Verdict: SUPPORTS

128123	Mohra	Yes	Yes	=	Mohra	=
128123	is a truck	No	Yes	=	is a film	#
Gold Verdict: REFUTES

86175	Hourglass is performed by a Russian singer-songwriter	No	Yes	=	Hourglass is album under the Japanese singer songwriter	#
Gold Verdict: REFUTES

73623	Papua comprised all of Indonesia	Yes	Yes	=	Papua comprising most of Indonesia	=
Gold Verdict: NOT ENOUGH INFO

229316	A working animal	Yes	Yes	=	A working animal	=
229316	is trained	Yes	Yes	=	is trained	=
229316	to perform	Yes	Yes	=	to perform	=
229316	life saving tasks	Yes	Yes	=	tasks	=
Gold Verdict: NOT ENOUGH INFO

43608	Magic Johnson was a tap dancer	No	Yes	=	Stretch Johnson was a tap dancer	#
Gold Verdict: REFUTES

66638	The Adventures	Yes	Yes	=	The Adventures	=
66638	of Pluto Nash was reviewed by Ron Underwood	Yes	Yes	=	of Pluto Nash is directed by Ron Underwood	<
Gold Verdict: REFUTES

63502	Viola Davis	Yes	Yes	=	Viola Davis	=
63502	appeared	Yes	Yes	=	played	=
63502	in Kate & Leopold as Darth Maul	Yes	Yes	=	in later as Darth Maul	|
Gold Verdict: NOT ENOUGH INFO

114567	Seohyun	Yes	Yes	=	Seohyun	=
114567	is a dog	No	Yes	=	has an actress	#
Gold Verdict: REFUTES

71986	Steve Wozniak	Yes	Yes	=	Steve Wozniak	=
71986	was born	Yes	Yes	=	is born	=
71986	after the Apple II	Yes	Yes	=	while the Apple II	|
71986	came	Yes	Yes	=	developed	=
71986	out	No	Yes	=	known	#
Gold Verdict: REFUTES

185193	Home	Yes	Yes	=	Home	=
185193	for the Holidays	Yes	Yes	=	for the Holidays	=
185193	stars an American actress	No	Yes	=	starring a American horror directed	#
Gold Verdict: SUPPORTS

34412	Jayasudha is an actor that stars in Daag	No	Yes	=	Jayasudha is an actress in Secunderabad	#
Gold Verdict: REFUTES

202783	Despicable Me 2	Yes	Yes	=	Despicable Me 2	=
202783	was directed	Yes	Yes	=	is directed	=
202783	by a lake	No	Yes	=	to a	#
Gold Verdict: REFUTES

43776	Colin Kaepernick	Yes	Yes	=	Colin Kaepernick	=
43776	is a poker player	No	Yes	=	is a football quarterback	#
Gold Verdict: REFUTES

88464	The Road	Yes	Yes	=	The Road	=
88464	to El Dorado	Yes	Yes	=	to El Dorado	=
88464	stars Tim Allen	Yes	Yes	=	stars Kevin Kline	|
Gold Verdict: NOT ENOUGH INFO

60977	The highest point	Yes	Yes	=	the highest point	=
60977	of the Hindu Kush is Everest	Yes	Yes	=	in the Hindu Kush being peaks	>
Gold Verdict: REFUTES

4713	Tool	Yes	Yes	=	Tool	=
4713	has won three Oscars	Yes	Yes	=	has won three Awards	=
Gold Verdict: REFUTES

10328	Sidse Babett Knudsen	Yes	Yes	=	Sidse Babett Knudsen	=
10328	graduated on November 22nd, 1968	Yes	Yes	=	works a in November 22 , 1968	>
Gold Verdict: REFUTES

223343	2015 was the year when the principal photography of The Disaster Aritst (film	No	Yes	=	2015 December the Principal photography of The Disaster Artist ( film	#
223343	started	Yes	Yes	=	began	=
Gold Verdict: SUPPORTS

38125	The Armenian Genocide was the killing	Yes	Yes	=	The Armenian Genocide was s extermination	<
38125	of Armenians	Yes	Yes	=	of Armenians	=
38125	who were mostly Ottoman natives	Yes	Yes	=	mostly Ottoman	>
Gold Verdict: SUPPORTS

130920	Bruce Shand	Yes	Yes	=	Bruce Shand	=
130920	was born	No	Yes	=	was officer	#
130920	on September 22nd, 1917	Yes	Yes	=	in January 22 1917	|
Gold Verdict: REFUTES

128229	Advertising	Yes	Yes	=	Advertising	=
128229	is an sound-based manner	No	Yes	=	is an audio nonpersonal form	#
128229	of marketing communication	Yes	Yes	=	of marketing communication	=
Gold Verdict: SUPPORTS

185206	Home	Yes	Yes	=	Home	=
185206	for the Holidays	Yes	Yes	=	for the Holidays	=
185206	stars	Yes	Yes	=	starring	=
185206	the fourth stepchild	No	Yes	=	an 6 born	#
185206	of Charlie Chaplin	Yes	Yes	=	of Charlie Chaplin	=
Gold Verdict: REFUTES

51098	Stephen Hillenburg	Yes	Yes	=	Stephen Hillenburg	=
51098	was fascinated	Yes	Yes	=	became fascinated	=
51098	with politics	No	Yes	=	with art	#
51098	as a student	Yes	Yes	=	while a studying	<
Gold Verdict: REFUTES

135457	Rupert Murdoch	Yes	Yes	=	Rupert Murdoch	=
135457	has control	Yes	Yes	=	had control	=
135457	of The Galactic Empire	Yes	Yes	=	of the of America	|
Gold Verdict: NOT ENOUGH INFO

179042	Congressional Space Medal	Yes	Yes	=	Congressional Space Medal	=
179042	of Honor	Yes	Yes	=	of Honor	=
179042	is the highest award given only to astronauts by NASA	Yes	Yes	=	is The highest award given Aeronautics by NASA	>
Gold Verdict: SUPPORTS

203012	The chairwoman	Yes	Yes	=	chairwoman	=
203012	of Lockheed Martin	Yes	Yes	=	Lockheed Martin	=
203012	the President	Yes	Yes	=	President	=
203012	are currently the same person	Yes	Yes	=	is current the Officer	<
Gold Verdict: NOT ENOUGH INFO

13218	Tremont Street Subway	Yes	Yes	=	Tremont Street Subway	=
13218	is an expensive project	Yes	Yes	=	was a traffic-clogged built	<
Gold Verdict: NOT ENOUGH INFO

158439	The Penibaetic System is also called Sistema Penibético	Yes	Yes	=	The Penibaetic System is Sistema Penibético	=
158439	in Spanish	Yes	Yes	=	in Spanish	=
Gold Verdict: NOT ENOUGH INFO

186983	Bermuda Triangle	Yes	Yes	=	Bermuda Triangle	=
186983	is in the western part	Yes	Yes	=	is in the western part	=
186983	of the Atlantic Ocean	Yes	Yes	=	of the Atlantic Ocean	=
186983	near Florida	Yes	Yes	=	in the western part	|
Gold Verdict: NOT ENOUGH INFO

182276	Saturn Corporation	Yes	Yes	=	Saturn Corporation	=
182276	is also known	Yes	Yes	=	is also known	=
182276	as Toyota LLC	No	Yes	=	as LLC	#
Gold Verdict: REFUTES

67212	John Dolmayan	Yes	Yes	=	John Dolmayan	=
67212	is Armenian-American and Indian	No	Yes	=	is Armenian Lebanese-born American and	#
Gold Verdict: REFUTES

9944	The Armenian Genocide took place	Yes	Yes	=	The Armenian Genocide was	=
9944	in the Ottoman Empire the Republic	Yes	Yes	=	within the Ottoman Empire the Republic	=
9944	of Turkey	Yes	Yes	=	of Turkey	=
Gold Verdict: NOT ENOUGH INFO

113333	Margaret Thatcher	Yes	Yes	=	Margaret Thatcher	=
113333	was the first woman to lead a major political party	Yes	Yes	=	became the first woman to lead a major political party	=
113333	in the United Kingdom	Yes	Yes	=	in the United Kingdom	=
Gold Verdict: REFUTES

165898	Alice Cooper has been working	Yes	Yes	=	Alice Cooper is career	<
165898	in his field for over 50 years	Yes	Yes	=	an whose over five decades	>
Gold Verdict: SUPPORTS

153303	EA Black Box	Yes	Yes	=	EA Black Box	=
153303	was a picture game developer	No	Yes	=	was a video game developer	#
Gold Verdict: SUPPORTS

7876	The ruins	Yes	Yes	=	ruins	=
7876	of the ancient Roman town of Herculaneum	Yes	Yes	=	of the Roman of Herculaneum	>
7876	lie near Naples	Yes	Yes	=	are vicinity Naples	=
Gold Verdict: SUPPORTS

206168	Palo Alto	Yes	Yes	=	Palo Alto	=
206168	California is 50 miles from the San Francisco Bay Area	Yes	Yes	=	California is northwest located from in the San Francisco Bay Area	!
Gold Verdict: NOT ENOUGH INFO

183611	Finding	Yes	Yes	=	Finding	=
183611	Dory	Yes	Yes	=	Dory	=
183611	was written	Yes	Yes	=	was written	=
183611	by anyone an American	Yes	Yes	=	by an American	<
Gold Verdict: REFUTES

192980	Roland Emmerich	Yes	Yes	=	Roland Emmerich	=
192980	campaigns	Yes	Yes	=	campaigner	=
192980	for the straight community	Yes	Yes	=	for the openly community	!
Gold Verdict: NOT ENOUGH INFO

156856	Stephen Colbert hosts	Yes	Yes	=	Stephen Colbert hosted	=
156856	guests	Yes	Yes	=	guest	=
Gold Verdict: NOT ENOUGH INFO

157685	Bessie Smith	Yes	Yes	=	Bessie Smith	=
157685	was married	No	Yes	=	was singer	#
157685	on April 15, 1894	Yes	Yes	=	an April 15 , 1894	=
Gold Verdict: REFUTES

173121	Anne Sullivan was born	No	Yes	=	Anne Sullivan was known	#
173121	in April	Yes	Yes	=	an April	=
173121	of 1866	Yes	Yes	=	, 1866	=
Gold Verdict: SUPPORTS

46513	The filming of Dilwale Dulhania Le Jayenge finished in August 1995	Yes	Yes	=	The shot Dilwale Dulhania Le Jayenge in September August 1995	|
Gold Verdict: SUPPORTS

76795	Tim Roth	Yes	Yes	=	Tim Roth	=
76795	's full name is not Timothy Simon Roth	Yes	Yes	=	an English actor is born Timothy Simon Roth	!
Gold Verdict: NOT ENOUGH INFO

58341	Nuuk	Yes	Yes	=	Nuuk	=
58341	is the largest military center	No	Yes	=	is the largest cultural economic centre	#
58341	of Greenland	Yes	Yes	=	Greenland	=
Gold Verdict: REFUTES

54418	Paris	Yes	Yes	=	Paris	=
54418	Paris Hilton album	Yes	Yes	=	Paris Hilton album	=
54418	incorporates	Yes	Yes	=	incorporates	=
54418	elements	Yes	Yes	=	elements	=
54418	of German	Yes	Yes	=	of American	|
Gold Verdict: NOT ENOUGH INFO

194923	Stripes	Yes	Yes	=	Stripes	=
194923	only featured	Yes	Yes	=	first featured	=
194923	women	No	Yes	=	actors	#
Gold Verdict: REFUTES

124723	International students	Yes	Yes	=	international students	=
124723	come	Yes	Yes	=	come	=
124723	to the University	No	Yes	=	after the university	#
124723	of Mississippi	Yes	Yes	=	of Mississippi	=
124723	from 90 cities	Yes	Yes	=	from 90 nations	=
Gold Verdict: REFUTES

53288	Camden	Yes	Yes	=	Camden	=
53288	New Jersey	Yes	Yes	=	New Jersey	=
53288	is the home	Yes	Yes	=	is the home	=
53288	of a school that was founded as a law school	Yes	Yes	=	of which was founded as the Law School	=
53288	in 1926	Yes	Yes	=	in 1926	=
Gold Verdict: NOT ENOUGH INFO

71511	T2 Trainspotting	Yes	Yes	=	T2 Trainspotting	=
71511	is a 2017 British comedy drama book	No	Yes	=	is a 2017 British comedy drama film	#
Gold Verdict: REFUTES

54142	Penguin Books	Yes	Yes	=	Penguin Books	=
54142	sold movies	No	Yes	=	sold publishing	#
54142	through Woolworths	Yes	Yes	=	through Woolworths	=
54142	other high street stores	Yes	Yes	=	other high street stores	=
Gold Verdict: REFUTES

55975	Derek Hough starred in an American film	Yes	Yes	=	Derek Hough starred in a Korean-American film	|
Gold Verdict: NOT ENOUGH INFO

19501	Bad Romance is a single	Yes	Yes	=	Bad Romance is a song	=
Gold Verdict: NOT ENOUGH INFO

24265	Aerobic exercise	Yes	Yes	=	Aerobic exercise	=
24265	temporarily	Yes	Yes	=	primarily	=
24265	increases	Yes	Yes	=	increase	=
24265	the heart rate	Yes	Yes	=	the heart rates	=
Gold Verdict: NOT ENOUGH INFO

69716	Rupert Murdoch	Yes	Yes	=	Rupert Murdoch	=
69716	is the Chairman	Yes	Yes	=	is the chairman	=
69716	of FOX News	Yes	Yes	=	of Fox News	=
Gold Verdict: REFUTES

135740	Gal Gadot	Yes	Yes	=	Gal Gadot	=
135740	was ranked	Yes	Yes	=	was ranked	=
135740	behind Esti Ginzburg	Yes	Yes	=	behind Esti Ginzburg	=
135740	for highest earning actress/models in Israel	Yes	Yes	=	as highest earning actress / models in Israel	>
Gold Verdict: REFUTES
